model,num_layers,run,test_mae,best_val_mae,train_time,n_params
gcn,4,0,0.5741040115356445,0.5581457023620605,83.98243260383606,20481
gcn,4,1,0.5998019409179688,0.5819845199584961,44.910971879959106,20481
gcn,4,2,0.5793404273986816,0.566795238494873,84.00355982780457,20481
gcn+fa,4,0,0.5691673469543457,0.548075252532959,90.72493052482605,37249
gcn+fa,4,1,0.5807314453125,0.5595532112121582,68.82548952102661,37249
gcn+fa,4,2,0.5667722282409668,0.5462481651306152,104.52068209648132,37249
